time,open,high,low,close,tick_volume,spread
2018.08.30 15:00:00,1.17031,1.17178,1.16963,1.17019,2434,5
2018.08.30 16:00:00,1.17018,1.17040,1.16741,1.16863,2609,5
2018.08.30 17:00:00,1.16863,1.16994,1.16843,1.16987,1993,5
2018.08.30 18:00:00,1.16988,1.17081,1.16911,1.16974,2325,5
2018.08.30 19:00:00,1.16972,1.16984,1.16820,1.16860,2414,5
2018.08.30 20:00:00,1.16858,1.16951,1.16767,1.16773,2564,5
2018.08.30 21:00:00,1.16771,1.16822,1.16440,1.16595,3652,5
2018.08.30 22:00:00,1.16598,1.16680,1.16502,1.16567,2981,5
2018.08.30 23:00:00,1.16570,1.16615,1.16418,1.16457,2938,5
2018.08.31 00:00:00,1.16458,1.16599,1.16414,1.16568,2224,5
2018.08.31 01:00:00,1.16568,1.16696,1.16496,1.16679,2082,5
2018.08.31 02:00:00,1.16678,1.16717,1.16560,1.16646,2500,5
2018.08.31 03:00:00,1.16645,1.16787,1.16595,1.16765,1959,5
2018.08.31 04:00:00,1.16765,1.16765,1.16648,1.16677,1092,5
2018.08.31 05:00:00,1.16677,1.16691,1.16649,1.16667,741,8
2018.08.31 06:00:00,1.16668,1.16676,1.16621,1.16626,797,8
2018.08.31 07:00:00,1.16625,1.16660,1.16609,1.16652,766,5
2018.08.31 08:00:00,1.16651,1.16676,1.16600,1.16644,1337,5
2018.08.31 09:00:00,1.16643,1.16757,1.16637,1.16663,1753,5
2018.08.31 10:00:00,1.16663,1.16698,1.16606,1.16630,1273,5
2018.08.31 11:00:00,1.16631,1.16671,1.16592,1.16631,1085,5
2018.08.31 12:00:00,1.16630,1.16710,1.16625,1.16693,802,5
2018.08.31 13:00:00,1.16694,1.16892,1.16688,1.16808,2099,5
2018.08.31 14:00:00,1.16810,1.16845,1.16720,1.16726,2192,5
2018.08.31 15:00:00,1.16723,1.16893,1.16723,1.16833,3012,5
2018.08.31 16:00:00,1.16834,1.16896,1.16667,1.16687,2628,5
2018.08.31 17:00:00,1.16685,1.16727,1.16637,1.16684,2318,5
2018.08.31 18:00:00,1.16687,1.16694,1.16552,1.16661,2179,5
2018.08.31 19:00:00,1.16659,1.16664,1.16433,1.16515,2595,5
2018.08.31 20:00:00,1.16513,1.16552,1.16329,1.16391,2793,5
2018.08.31 21:00:00,1.16391,1.16400,1.16255,1.16355,2793,5
2018.08.31 22:00:00,1.16356,1.16515,1.16294,1.16336,3383,5
2018.08.31 23:00:00,1.16337,1.16359,1.15915,1.15955,3728,5
2018.09.01 00:00:00,1.15956,1.15994,1.15843,1.15944,2985,5
2018.09.01 01:00:00,1.15942,1.16049,1.15887,1.16047,2110,5
2018.09.01 02:00:00,1.16048,1.16086,1.15956,1.15964,1968,5
2018.09.01 03:00:00,1.15963,1.16100,1.15952,1.16069,2229,5
2018.09.01 04:00:00,1.16069,1.16102,1.15999,1.16007,1213,5
2018.09.03 05:00:00,1.15974,1.15978,1.15926,1.15951,693,20
2018.09.03 06:00:00,1.15954,1.16015,1.15948,1.15958,861,10
2018.09.03 07:00:00,1.15958,1.15986,1.15920,1.15981,717,5
2018.09.03 08:00:00,1.15978,1.16029,1.15918,1.15962,944,5
2018.09.03 09:00:00,1.15961,1.15998,1.15885,1.15961,1536,5
2018.09.03 10:00:00,1.15960,1.16014,1.15924,1.15974,1154,5
2018.09.03 11:00:00,1.15974,1.16026,1.15954,1.15982,800,5
2018.09.03 12:00:00,1.15985,1.16059,1.15971,1.16059,834,5
2018.09.03 13:00:00,1.16060,1.16152,1.16044,1.16124,1215,4
2018.09.03 14:00:00,1.16122,1.16150,1.15993,1.15999,1915,5
2018.09.03 15:00:00,1.15999,1.16124,1.15908,1.16110,1224,5
2018.09.03 19:00:00,1.16144,1.16197,1.16097,1.16114,1453,5
2018.09.03 20:00:00,1.16113,1.16160,1.16046,1.16065,1920,5
2018.09.03 21:00:00,1.16064,1.16139,1.16033,1.16093,1723,5
2018.09.03 22:00:00,1.16093,1.16270,1.16078,1.16267,2011,5
2018.09.03 23:00:00,1.16267,1.16269,1.16173,1.16187,1508,5
2018.09.04 00:00:00,1.16189,1.16230,1.16143,1.16163,967,5
2018.09.04 01:00:00,1.16162,1.16207,1.16159,1.16184,515,5
2018.09.04 02:00:00,1.16184,1.16201,1.16162,1.16176,809,5
2018.09.04 03:00:00,1.16176,1.16180,1.16143,1.16157,832,5
2018.09.04 04:00:00,1.16157,1.16177,1.16146,1.16170,1194,5
2018.09.04 05:00:00,1.16171,1.16184,1.16129,1.16139,575,7
2018.09.04 06:00:00,1.16139,1.16166,1.16135,1.16166,531,6
2018.09.04 07:00:00,1.16166,1.16169,1.16132,1.16137,494,5
2018.09.04 08:00:00,1.16136,1.16138,1.16014,1.16031,1278,5
2018.09.04 09:00:00,1.16031,1.16050,1.15952,1.16017,1822,5
2018.09.04 10:00:00,1.16017,1.16028,1.15954,1.15984,1138,5
2018.09.04 11:00:00,1.15982,1.16014,1.15964,1.16006,788,5
2018.09.04 12:00:00,1.16006,1.16059,1.15987,1.16038,1282,6
2018.09.04 13:00:00,1.16038,1.16107,1.16016,1.16020,1563,5
2018.09.04 14:00:00,1.16022,1.16044,1.15741,1.15778,2996,5
2018.09.04 15:00:00,1.15776,1.15848,1.15676,1.15692,2485,5
2018.09.04 16:00:00,1.15692,1.15709,1.15578,1.15651,2613,5
2018.09.04 17:00:00,1.15650,1.15670,1.15562,1.15563,2376,5
2018.09.04 18:00:00,1.15566,1.15649,1.15497,1.15603,2250,5
2018.09.04 19:00:00,1.15604,1.15648,1.15529,1.15589,2443,5
2018.09.04 20:00:00,1.15588,1.15683,1.15544,1.15613,2348,5
2018.09.04 21:00:00,1.15614,1.15627,1.15439,1.15445,2796,5
2018.09.04 22:00:00,1.15415,1.15592,1.15299,1.15548,3223,5
2018.09.04 23:00:00,1.15551,1.15696,1.15509,1.15650,2580,5
2018.09.05 00:00:00,1.15653,1.15841,1.15639,1.15793,2214,5
2018.09.05 01:00:00,1.15793,1.15838,1.15736,1.15743,1667,5
2018.09.05 02:00:00,1.15744,1.15807,1.15728,1.15796,1279,5
2018.09.05 03:00:00,1.15797,1.15855,1.15740,1.15853,1334,5
2018.09.05 04:00:00,1.15853,1.15892,1.15802,1.15809,905,4
2018.09.05 05:00:00,1.15809,1.15846,1.15782,1.15806,954,6
2018.09.05 06:00:00,1.15806,1.15830,1.15803,1.15826,608,6
2018.09.05 07:00:00,1.15826,1.15868,1.15818,1.15868,547,5
2018.09.05 08:00:00,1.15867,1.15873,1.15800,1.15850,1078,5
2018.09.05 09:00:00,1.15851,1.16026,1.15807,1.15961,1914,5
2018.09.05 10:00:00,1.15960,1.16076,1.15930,1.16043,1365,5
2018.09.05 11:00:00,1.16043,1.16057,1.15948,1.15960,1154,5
2018.09.05 12:00:00,1.15960,1.15976,1.15922,1.15943,783,5
2018.09.05 13:00:00,1.15943,1.15953,1.15864,1.15930,1451,5
2018.09.05 14:00:00,1.15930,1.15930,1.15633,1.15639,2734,5
2018.09.05 15:00:00,1.15635,1.15690,1.15408,1.15551,3041,5
2018.09.05 16:00:00,1.15551,1.15708,1.15550,1.15684,2622,5
2018.09.05 17:00:00,1.15682,1.15917,1.15667,1.15748,2872,5
2018.09.05 18:00:00,1.15747,1.15972,1.15673,1.15935,2593,5
2018.09.05 19:00:00,1.15936,1.15951,1.15788,1.15789,2094,5
2018.09.05 20:00:00,1.15790,1.15908,1.15715,1.15845,2360,5
2018.09.05 21:00:00,1.15844,1.16391,1.15828,1.16260,4360,5
2018.09.05 22:00:00,1.16265,1.16272,1.16089,1.16249,3326,5
2018.09.05 23:00:00,1.16248,1.16291,1.16047,1.16176,3355,5
2018.09.06 00:00:00,1.16179,1.16294,1.16172,1.16208,2041,5
2018.09.06 01:00:00,1.16207,1.16317,1.16203,1.16215,1554,5
2018.09.06 02:00:00,1.16214,1.16277,1.16199,1.16236,1378,5
2018.09.06 03:00:00,1.16236,1.16326,1.16211,1.16310,1393,5
2018.09.06 04:00:00,1.16310,1.16338,1.16291,1.16291,910,4
2018.09.06 05:00:00,1.16288,1.16334,1.16288,1.16329,659,6
2018.09.06 06:00:00,1.16330,1.16339,1.16312,1.16319,594,5
2018.09.06 07:00:00,1.16320,1.16347,1.16316,1.16343,495,5
2018.09.06 08:00:00,1.16343,1.16582,1.16337,1.16445,1948,5
2018.09.06 09:00:00,1.16447,1.16487,1.16405,1.16438,1455,5
2018.09.06 10:00:00,1.16438,1.16502,1.16433,1.16465,1207,5
2018.09.06 11:00:00,1.16464,1.16467,1.16318,1.16341,1463,5
2018.09.06 12:00:00,1.16342,1.16371,1.16295,1.16336,891,5
2018.09.06 13:00:00,1.16337,1.16343,1.16189,1.16223,1680,5
2018.09.06 14:00:00,1.16224,1.16312,1.16138,1.16203,2410,5
2018.09.06 15:00:00,1.16205,1.16365,1.16136,1.16221,2720,5
2018.09.06 16:00:00,1.16223,1.16416,1.16210,1.16352,2728,5
2018.09.06 17:00:00,1.16354,1.16366,1.16159,1.16210,2414,5
2018.09.06 18:00:00,1.16209,1.16283,1.16160,1.16278,2074,5
2018.09.06 19:00:00,1.16277,1.16376,1.16250,1.16297,2090,5
2018.09.06 20:00:00,1.16297,1.16547,1.16268,1.16411,2840,5
2018.09.06 21:00:00,1.16412,1.16451,1.16307,1.16409,2453,5
2018.09.06 22:00:00,1.16408,1.16464,1.16239,1.16308,3329,5
2018.09.06 23:00:00,1.16310,1.16322,1.16051,1.16229,3437,5
2018.09.07 00:00:00,1.16229,1.16245,1.16125,1.16245,2069,5
2018.09.07 01:00:00,1.16243,1.16260,1.16137,1.16196,1638,5
2018.09.07 02:00:00,1.16194,1.16325,1.16188,1.16252,1797,5
2018.09.07 03:00:00,1.16250,1.16265,1.16210,1.16219,1629,4
2018.09.07 04:00:00,1.16204,1.16272,1.16182,1.16232,1247,5
2018.09.07 05:00:00,1.16231,1.16233,1.16191,1.16233,608,5
2018.09.07 06:00:00,1.16233,1.16245,1.16219,1.16245,566,5
2018.09.07 07:00:00,1.16244,1.16249,1.16191,1.16194,676,5
2018.09.07 08:00:00,1.16196,1.16234,1.16145,1.16181,1588,5
2018.09.07 09:00:00,1.16179,1.16246,1.16137,1.16228,1525,5
2018.09.07 10:00:00,1.16229,1.16260,1.16174,1.16190,1405,5
2018.09.07 11:00:00,1.16189,1.16235,1.16148,1.16234,1161,5
2018.09.07 12:00:00,1.16234,1.16286,1.16232,1.16286,939,6
2018.09.07 13:00:00,1.16285,1.16307,1.16213,1.16241,1178,4
2018.09.07 14:00:00,1.16241,1.16443,1.16133,1.16398,3076,5
2018.09.07 15:00:00,1.16399,1.16486,1.16323,1.16458,2369,5
2018.09.07 16:00:00,1.16455,1.16480,1.16401,1.16439,2082,5
2018.09.07 17:00:00,1.16438,1.16490,1.16315,1.16360,2006,5
2018.09.07 18:00:00,1.16359,1.16384,1.16223,1.16254,2529,5
2018.09.07 19:00:00,1.16254,1.16278,1.15994,1.16094,2586,5
2018.09.07 20:00:00,1.16094,1.16197,1.15667,1.15667,4165,5
2018.09.07 21:00:00,1.15665,1.15858,1.15615,1.15779,3404,5
2018.09.07 22:00:00,1.15779,1.15928,1.15721,1.15821,3378,5
2018.09.07 23:00:00,1.15823,1.15853,1.15702,1.15707,3039,5
2018.09.08 00:00:00,1.15707,1.15727,1.15554,1.15608,3265,5
2018.09.08 01:00:00,1.15608,1.15627,1.15503,1.15611,1959,5
2018.09.08 02:00:00,1.15612,1.15667,1.15592,1.15645,1548,5
2018.09.08 03:00:00,1.15645,1.15659,1.15580,1.15580,1367,5
2018.09.08 04:00:00,1.15573,1.15610,1.15517,1.15531,826,4
2018.09.10 05:00:00,1.15505,1.15526,1.15470,1.15510,721,8
2018.09.10 06:00:00,1.15509,1.15584,1.15479,1.15550,727,5
2018.09.10 07:00:00,1.15550,1.15606,1.15539,1.15604,620,5
2018.09.10 08:00:00,1.15603,1.15638,1.15541,1.15638,1248,5
2018.09.10 09:00:00,1.15638,1.15638,1.15494,1.15494,1360,5
2018.09.10 10:00:00,1.15495,1.15549,1.15467,1.15505,1213,5
2018.09.10 11:00:00,1.15504,1.15525,1.15413,1.15434,1184,5
2018.09.10 12:00:00,1.15436,1.15469,1.15391,1.15468,979,5
2018.09.10 13:00:00,1.15469,1.15515,1.15439,1.15515,876,5
