time,open,high,low,close,tick_volume,spread
2022.09.08 07:00:00,0.86700,0.86764,0.86688,0.86761,247,3
2022.09.08 07:30:00,0.86762,0.86774,0.86731,0.86769,152,3
2022.09.08 08:00:00,0.86770,0.86799,0.86763,0.86797,214,3
2022.09.08 08:30:00,0.86799,0.86818,0.86776,0.86780,234,3
2022.09.08 09:00:00,0.86779,0.86779,0.86739,0.86755,199,3
2022.09.08 09:30:00,0.86757,0.86793,0.86757,0.86783,133,3
2022.09.08 10:00:00,0.86779,0.86781,0.86760,0.86771,122,3
2022.09.08 10:30:00,0.86772,0.86790,0.86766,0.86782,86,3
2022.09.08 11:00:00,0.86785,0.86843,0.86774,0.86813,330,3
2022.09.08 11:30:00,0.86811,0.86845,0.86789,0.86836,148,3
2022.09.08 12:00:00,0.86834,0.86834,0.86813,0.86831,124,3
2022.09.08 12:30:00,0.86833,0.86846,0.86822,0.86830,89,3
2022.09.08 13:00:00,0.86831,0.86848,0.86829,0.86848,97,3
2022.09.08 13:30:00,0.86847,0.86865,0.86822,0.86834,218,3
2022.09.08 14:00:00,0.86836,0.86940,0.86836,0.86935,580,3
2022.09.08 14:30:00,0.86932,0.86946,0.86825,0.86877,460,3
2022.09.08 15:00:00,0.86875,0.86937,0.86822,0.86898,890,3
2022.09.08 15:30:00,0.86897,0.86928,0.86871,0.86893,688,3
2022.09.08 16:00:00,0.86894,0.86958,0.86857,0.86949,611,3
2022.09.08 16:30:00,0.86948,0.86967,0.86884,0.86965,677,3
2022.09.08 17:00:00,0.86964,0.87098,0.86944,0.87090,421,3
2022.09.08 17:30:00,0.87088,0.87116,0.86970,0.86970,508,3
2022.09.08 18:00:00,0.86973,0.87036,0.86971,0.86991,441,3
2022.09.08 18:30:00,0.86992,0.86997,0.86690,0.86735,774,3
2022.09.08 19:00:00,0.86734,0.86848,0.86642,0.86835,762,3
2022.09.08 19:30:00,0.86833,0.86854,0.86717,0.86719,880,3
2022.09.08 20:00:00,0.86720,0.86837,0.86558,0.86756,2881,3
2022.09.08 20:30:00,0.86753,0.86994,0.86748,0.86935,1418,3
2022.09.08 21:00:00,0.86932,0.86947,0.86610,0.86779,2112,3
2022.09.08 21:30:00,0.86781,0.86787,0.86674,0.86724,1500,3
2022.09.08 22:00:00,0.86722,0.86734,0.86589,0.86682,949,3
2022.09.08 22:30:00,0.86685,0.86801,0.86644,0.86646,896,3
2022.09.08 23:00:00,0.86648,0.86727,0.86589,0.86657,774,3
2022.09.08 23:30:00,0.86660,0.86711,0.86547,0.86680,704,3
2022.09.09 00:00:00,0.86678,0.86808,0.86674,0.86800,760,3
2022.09.09 00:30:00,0.86801,0.86832,0.86740,0.86819,523,3
2022.09.09 01:00:00,0.86817,0.86859,0.86765,0.86814,550,3
2022.09.09 01:30:00,0.86816,0.86896,0.86807,0.86879,496,3
2022.09.09 02:00:00,0.86876,0.86908,0.86841,0.86841,385,3
2022.09.09 02:30:00,0.86844,0.86904,0.86816,0.86900,426,3
2022.09.09 03:00:00,0.86898,0.86940,0.86890,0.86923,417,3
2022.09.09 03:30:00,0.86920,0.86951,0.86911,0.86931,334,3
2022.09.09 04:00:00,0.86929,0.86929,0.86898,0.86927,114,3
2022.09.09 04:30:00,0.86926,0.86954,0.86923,0.86928,146,3
2022.09.09 05:00:00,0.86901,0.86922,0.86836,0.86921,167,40
2022.09.09 05:30:00,0.86921,0.86923,0.86898,0.86907,107,27
2022.09.09 06:00:00,0.86904,0.86926,0.86886,0.86903,151,20
2022.09.09 06:30:00,0.86905,0.86909,0.86861,0.86888,89,20
2022.09.09 07:00:00,0.86896,0.86899,0.86870,0.86879,129,3
2022.09.09 07:30:00,0.86880,0.86898,0.86867,0.86888,113,3
2022.09.09 08:00:00,0.86889,0.86980,0.86883,0.86968,313,3
2022.09.09 08:30:00,0.86966,0.87037,0.86956,0.87014,322,3
2022.09.09 09:00:00,0.87016,0.87042,0.87011,0.87026,178,3
2022.09.09 09:30:00,0.87028,0.87043,0.86985,0.87007,139,3
2022.09.09 10:00:00,0.87005,0.87057,0.86982,0.87055,247,3
2022.09.09 10:30:00,0.87052,0.87060,0.87034,0.87046,185,3
2022.09.09 11:00:00,0.87047,0.87061,0.87003,0.87059,224,3
2022.09.09 11:30:00,0.87062,0.87063,0.86911,0.86917,320,3
2022.09.09 12:00:00,0.86920,0.86973,0.86920,0.86955,304,3
2022.09.09 12:30:00,0.86958,0.86963,0.86914,0.86917,256,3
2022.09.09 13:00:00,0.86920,0.86931,0.86833,0.86844,234,3
2022.09.09 13:30:00,0.86843,0.86894,0.86836,0.86877,249,3
2022.09.09 14:00:00,0.86879,0.86888,0.86805,0.86851,490,3
2022.09.09 14:30:00,0.86853,0.86872,0.86748,0.86787,569,3
2022.09.09 15:00:00,0.86790,0.86959,0.86778,0.86899,1125,3
2022.09.09 15:30:00,0.86900,0.86910,0.86803,0.86803,792,3
2022.09.09 16:00:00,0.86805,0.86872,0.86748,0.86784,777,3
2022.09.09 16:30:00,0.86786,0.86907,0.86768,0.86902,700,3
2022.09.09 17:00:00,0.86905,0.86943,0.86810,0.86816,706,3
2022.09.09 17:30:00,0.86818,0.86838,0.86755,0.86815,493,3
2022.09.09 18:00:00,0.86814,0.86944,0.86772,0.86937,520,3
2022.09.09 18:30:00,0.86935,0.86958,0.86737,0.86743,616,3
2022.09.09 19:00:00,0.86744,0.86865,0.86693,0.86849,729,3
2022.09.09 19:30:00,0.86851,0.86968,0.86835,0.86836,970,3
2022.09.09 20:00:00,0.86835,0.86926,0.86818,0.86911,543,3
2022.09.09 20:30:00,0.86912,0.86925,0.86754,0.86774,674,3
2022.09.09 21:00:00,0.86773,0.86827,0.86700,0.86825,806,3
2022.09.09 21:30:00,0.86828,0.86843,0.86720,0.86780,839,3
2022.09.09 22:00:00,0.86783,0.86791,0.86697,0.86741,725,3
2022.09.09 22:30:00,0.86743,0.86763,0.86651,0.86694,815,3
2022.09.09 23:00:00,0.86697,0.86723,0.86650,0.86669,506,3
2022.09.09 23:30:00,0.86666,0.86682,0.86599,0.86601,520,3
2022.09.10 00:00:00,0.86600,0.86690,0.86600,0.86660,450,3
2022.09.10 00:30:00,0.86658,0.86664,0.86596,0.86658,370,3
2022.09.10 01:00:00,0.86659,0.86697,0.86657,0.86690,265,3
2022.09.10 01:30:00,0.86688,0.86740,0.86680,0.86685,270,3
2022.09.10 02:00:00,0.86687,0.86703,0.86655,0.86664,256,3
2022.09.10 02:30:00,0.86666,0.86670,0.86646,0.86667,242,3
2022.09.10 03:00:00,0.86666,0.86670,0.86633,0.86654,200,3
2022.09.10 03:30:00,0.86653,0.86670,0.86633,0.86665,233,3
2022.09.10 04:00:00,0.86663,0.86687,0.86635,0.86662,167,3
