time,open,high,low,close,tick_volume,spread
2025.12.31 10:15:00,6893.60000,6895.00000,6893.05000,6894.80000,73,0
2025.12.31 10:20:00,6894.67000,6896.05000,6894.30000,6895.57000,94,0
2025.12.31 10:25:00,6895.73000,6896.05000,6894.84000,6896.01000,76,0
2025.12.31 10:30:00,6895.84000,6897.30000,6895.55000,6895.55000,89,0
2025.12.31 10:35:00,6895.55000,6896.43000,6895.30000,6896.34000,89,0
2025.12.31 10:40:00,6896.13000,6896.53000,6895.55000,6896.48000,100,0
2025.12.31 10:45:00,6896.39000,6897.05000,6893.34000,6894.52000,131,0
2025.12.31 10:50:00,6894.37000,6897.51000,6894.05000,6897.23000,127,0
2025.12.31 10:55:00,6897.09000,6897.55000,6896.87000,6897.02000,67,0
2025.12.31 11:00:00,6896.91000,6898.21000,6896.80000,6898.10000,64,0
2025.12.31 11:05:00,6898.25000,6898.55000,6897.55000,6897.80000,53,0
2025.12.31 11:10:00,6897.66000,6898.01000,6896.36000,6898.01000,62,0
2025.12.31 11:15:00,6897.84000,6898.70000,6896.80000,6896.87000,71,0
2025.12.31 11:20:00,6897.01000,6897.01000,6895.60000,6896.48000,44,0
2025.12.31 11:25:00,6896.55000,6896.55000,6895.34000,6895.35000,90,0
2025.12.31 11:30:00,6895.32000,6895.50000,6894.55000,6894.75000,42,0
2025.12.31 11:35:00,6894.78000,6894.98000,6894.05000,6894.70000,53,0
2025.12.31 11:40:00,6894.59000,6895.00000,6894.06000,6895.00000,45,0
2025.12.31 11:45:00,6894.85000,6895.48000,6894.55000,6895.48000,50,0
2025.12.31 11:50:00,6895.35000,6895.72000,6894.36000,6894.55000,57,0
2025.12.31 11:55:00,6894.55000,6894.99000,6894.05000,6894.97000,37,0
2025.12.31 12:00:00,6895.03000,6895.99000,6894.87000,6895.60000,51,0
2025.12.31 12:05:00,6895.55000,6895.76000,6895.30000,6895.55000,30,0
2025.12.31 12:10:00,6895.55000,6897.00000,6895.35000,6897.00000,29,0
2025.12.31 12:15:00,6897.04000,6897.80000,6896.59000,6897.80000,42,0
2025.12.31 12:20:00,6897.80000,6897.80000,6896.80000,6897.05000,35,0
2025.12.31 12:25:00,6897.05000,6897.30000,6896.62000,6896.78000,37,0
2025.12.31 12:30:00,6896.80000,6897.24000,6896.55000,6897.01000,26,0
2025.12.31 12:35:00,6897.03000,6897.05000,6896.55000,6896.97000,32,0
2025.12.31 12:40:00,6896.85000,6897.24000,6895.10000,6895.26000,48,0
2025.12.31 12:45:00,6895.29000,6895.30000,6894.10000,6895.09000,51,0
2025.12.31 12:50:00,6895.25000,6895.45000,6894.62000,6895.02000,33,0
2025.12.31 12:55:00,6895.05000,6895.50000,6894.61000,6894.61000,23,0
2025.12.31 13:00:00,6894.75000,6895.80000,6894.59000,6895.80000,53,0
2025.12.31 13:05:00,6895.80000,6895.80000,6895.30000,6895.34000,45,0
2025.12.31 13:10:00,6895.31000,6895.51000,6894.16000,6894.16000,48,0
2025.12.31 13:15:00,6894.26000,6894.44000,6893.80000,6894.23000,51,0
2025.12.31 13:20:00,6894.28000,6894.54000,6893.34000,6894.00000,51,0
2025.12.31 13:25:00,6894.23000,6895.30000,6894.09000,6894.60000,71,0
2025.12.31 13:30:00,6894.55000,6895.75000,6894.55000,6895.34000,58,0
2025.12.31 13:35:00,6895.11000,6895.26000,6892.80000,6892.97000,54,0
2025.12.31 13:40:00,6892.85000,6893.55000,6892.11000,6892.81000,66,0
2025.12.31 13:45:00,6892.80000,6892.80000,6891.89000,6892.30000,53,0
2025.12.31 13:50:00,6892.30000,6892.30000,6889.87000,6890.55000,93,0
2025.12.31 13:55:00,6890.72000,6890.72000,6889.32000,6890.04000,90,0
2025.12.31 14:00:00,6890.23000,6890.48000,6889.05000,6890.29000,52,0
2025.12.31 14:05:00,6890.13000,6891.04000,6889.60000,6890.79000,52,0
2025.12.31 14:10:00,6890.80000,6891.04000,6890.10000,6890.60000,54,0
2025.12.31 14:15:00,6890.57000,6890.80000,6886.84000,6889.23000,163,0
2025.12.31 14:20:00,6889.09000,6889.53000,6887.62000,6887.84000,90,0
2025.12.31 14:25:00,6887.81000,6888.30000,6886.75000,6887.63000,112,0
2025.12.31 14:30:00,6887.75000,6889.28000,6887.57000,6888.55000,87,0
